Cooperativa,Nome fantasia,Estado,Cidade,Status da escola,Programa Educacional
Sicredi Região Centro RS/MG,EMEF JOSÉ GABRIEL DE MORAES BRENNER,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI DONA MARIA LIBERATA FRAGA PRATES,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF La Salle,RIO GRANDE DO SUL,SAO JOAO DO POLESINE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI DONA ZEFERINA DE ALMEIDA LOPES,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F. Santo Inácio,RIO GRANDE DO SUL,NOVA PALMA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF Coronel Pimba,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEF José Batista Pompeu,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.E.E.F. ANA LÖBLER,RIO GRANDE DO SUL,NOVA PALMA,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,CMEI Trem da Alegria,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Pimentinha,RIO GRANDE DO SUL,SAO FRANCISCO DE ASSIS,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF INOCÊNCIO PRATES CHAVES,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Patrício Dias Ferreira,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF Nossa Senhoras das Graças,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF São João Batista,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Instituto de Educação Augusta M de Lima Marques,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Instituto de Educação Augusta M de Lima Marques,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,Cooperativas Escolares
Sicredi Vale do Jaguari e Zona da Mata RS/MG,E.M.E.E. Tanara Girardon Julien,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
